salary_id,employee_id,salary,change_reason,effective_date
54,1009,92249,Bonus,01-01-2024
55,1010,120243,Increment,01-01-2019
56,1010,105667,Promotion,01-01-2020
57,1010,121504,Increment,01-01-2021
58,1010,114792,Bonus,01-01-2022
59,1010,124058,Bonus,01-01-2023
60,1010,115972,Promotion,01-01-2024
61,1011,95196,Promotion,01-01-2019
62,1011,95063,Increment,01-01-2020
63,1011,93515,Promotion,01-01-2021
64,1011,88083,Increment,01-01-2022
65,1011,84537,Increment,01-01-2023
66,1011,85025,Promotion,01-01-2024
67,1012,89450,Bonus,01-01-2019
68,1012,89549,Increment,01-01-2020
69,1012,88816,Promotion,01-01-2021
70,1012,83543,Increment,01-01-2022
71,1012,89794,Bonus,01-01-2023
72,1012,82724,Bonus,01-01-2024
73,1013,67792,Increment,01-01-2019
74,1013,56587,Bonus,01-01-2020
75,1013,72643,Promotion,01-01-2021
76,1013,53336,Bonus,01-01-2022
77,1013,59792,Bonus,01-01-2023
78,1013,54208,Promotion,01-01-2024
79,1014,72486,Promotion,01-01-2019
80,1014,82914,Promotion,01-01-2020
81,1014,69997,Bonus,01-01-2021
82,1014,83359,Bonus,01-01-2022
83,1014,90837,Promotion,01-01-2023
84,1014,70809,Bonus,01-01-2024
85,1015,73165,Bonus,01-01-2019
86,1015,77419,Promotion,01-01-2020
87,1015,71711,Increment,01-01-2021
88,1015,74253,Promotion,01-01-2022
89,1015,78492,Promotion,01-01-2023
90,1015,88475,Bonus,01-01-2024
91,1016,41776,Increment,01-01-2019
92,1016,51424,Bonus,01-01-2020
93,1016,39811,Increment,01-01-2021
94,1016,31218,Promotion,01-01-2022
95,1016,52651,Promotion,01-01-2023
96,1016,31634,Promotion,01-01-2024
97,1017,48669,Increment,01-01-2019
98,1017,48433,Increment,01-01-2020
99,1017,50561,Promotion,01-01-2021
100,1017,65023,Increment,01-01-2022
101,1017,67343,Promotion,01-01-2023
102,1017,67326,Promotion,01-01-2024
103,1018,55131,Increment,01-01-2019
104,1018,55835,Bonus,01-01-2020
105,1018,56309,Bonus,01-01-2021
106,1018,48882,Bonus,01-01-2022
107,1018,67475,Bonus,01-01-2023
108,1018,61608,Increment,01-01-2024
109,1019,72314,Increment,01-01-2019
110,1019,56391,Bonus,01-01-2020
111,1019,77772,Promotion,01-01-2021
112,1019,64806,Increment,01-01-2022
113,1019,75138,Bonus,01-01-2023
114,1019,67952,Promotion,01-01-2024
115,1020,71782,Increment,01-01-2019
116,1020,80547,Bonus,01-01-2020
117,1020,79110,Bonus,01-01-2021
118,1020,84078,Bonus,01-01-2022
119,1020,76107,Promotion,01-01-2023
120,1020,78590,Increment,01-01-2024
121,1021,92893,Promotion,01-01-2019
122,1021,95759,Increment,01-01-2020
123,1021,96208,Promotion,01-01-2021
124,1021,93368,Bonus,01-01-2022
125,1021,75139,Promotion,01-01-2023
126,1021,96953,Increment,01-01-2024
127,1022,63829,Increment,01-01-2019
128,1022,71812,Promotion,01-01-2020
129,1022,54175,Increment,01-01-2021
130,1022,73279,Increment,01-01-2022
131,1022,55076,Promotion,01-01-2023
132,1022,72793,Bonus,01-01-2024
133,1023,104003,Promotion,01-01-2019
134,1023,117646,Promotion,01-01-2020
135,1023,106632,Increment,01-01-2021
136,1023,104748,Promotion,01-01-2022
137,1023,109732,Promotion,01-01-2023
138,1023,112546,Bonus,01-01-2024
139,1024,47072,Promotion,01-01-2019
140,1024,37022,Bonus,01-01-2020
141,1024,47318,Bonus,01-01-2021
142,1024,35270,Bonus,01-01-2022
143,1024,28069,Promotion,01-01-2023
144,1024,42174,Promotion,01-01-2024
145,1025,93208,Bonus,01-01-2019
146,1025,105055,Promotion,01-01-2020
147,1025,103394,Promotion,01-01-2021
148,1025,104348,Bonus,01-01-2022
149,1025,100002,Increment,01-01-2023
150,1025,86748,Promotion,01-01-2024
151,1026,113312,Promotion,01-01-2019
152,1026,109394,Promotion,01-01-2020
153,1026,118448,Bonus,01-01-2021
154,1026,114060,Bonus,01-01-2022
155,1026,122165,Promotion,01-01-2023
156,1026,105204,Bonus,01-01-2024
157,1027,84138,Increment,01-01-2019
158,1027,80741,Increment,01-01-2020
159,1027,89659,Increment,01-01-2021
160,1027,70127,Increment,01-01-2022
161,1027,93570,Promotion,01-01-2023
162,1027,72345,Bonus,01-01-2024
163,1028,108285,Increment,01-01-2019
164,1028,121190,Bonus,01-01-2020
165,1028,121074,Increment,01-01-2021
166,1028,107368,Promotion,01-01-2022
167,1028,126564,Bonus,01-01-2023
168,1028,126673,Increment,01-01-2024
169,1029,96746,Bonus,01-01-2019
170,1029,102056,Bonus,01-01-2020
171,1029,104470,Bonus,01-01-2021
172,1029,106731,Increment,01-01-2022
173,1029,109944,Increment,01-01-2023
174,1029,99912,Increment,01-01-2024
175,1030,59445,Promotion,01-01-2019
176,1030,70522,Promotion,01-01-2020
177,1030,79890,Increment,01-01-2021
178,1030,58154,Promotion,01-01-2022
179,1030,62002,Increment,01-01-2023
180,1030,64773,Increment,01-01-2024
181,1031,110889,Bonus,01-01-2019
182,1031,105409,Increment,01-01-2020
183,1031,101887,Promotion,01-01-2021
184,1031,118623,Promotion,01-01-2022
185,1031,119496,Promotion,01-01-2023
186,1031,110245,Increment,01-01-2024
187,1032,44507,Bonus,01-01-2019
188,1032,43707,Bonus,01-01-2020
189,1032,24005,Promotion,01-01-2021
190,1032,44754,Promotion,01-01-2022
191,1032,32046,Increment,01-01-2023
192,1032,35540,Bonus,01-01-2024
193,1033,113608,Bonus,01-01-2019
194,1033,131586,Promotion,01-01-2020
195,1033,129472,Promotion,01-01-2021
196,1033,125428,Promotion,01-01-2022
197,1033,123018,Increment,01-01-2023
198,1033,111822,Bonus,01-01-2024
199,1034,64847,Bonus,01-01-2019
200,1034,46010,Promotion,01-01-2020
201,1034,66024,Bonus,01-01-2021
202,1034,54226,Bonus,01-01-2022
203,1034,60446,Promotion,01-01-2023
204,1034,52643,Promotion,01-01-2024
205,1035,76338,Promotion,01-01-2019
206,1035,77595,Bonus,01-01-2020
207,1035,87221,Increment,01-01-2021
208,1035,85142,Promotion,01-01-2022
209,1035,89385,Increment,01-01-2023
210,1035,97649,Promotion,01-01-2024
211,1036,65968,Bonus,01-01-2019
212,1036,80585,Bonus,01-01-2020
213,1036,63557,Increment,01-01-2021
214,1036,62520,Increment,01-01-2022
215,1036,72802,Bonus,01-01-2023
216,1036,67491,Bonus,01-01-2024
217,1037,71322,Increment,01-01-2019
218,1037,68009,Promotion,01-01-2020
219,1037,72437,Bonus,01-01-2021
220,1037,74102,Promotion,01-01-2022
221,1037,83700,Increment,01-01-2023
222,1037,68601,Bonus,01-01-2024
223,1038,73334,Promotion,01-01-2019
224,1038,71119,Increment,01-01-2020
225,1038,66841,Bonus,01-01-2021
226,1038,69309,Promotion,01-01-2022
227,1038,56665,Bonus,01-01-2023
228,1038,69091,Increment,01-01-2024
229,1039,114006,Promotion,01-01-2019
230,1039,119920,Promotion,01-01-2020
231,1039,129844,Promotion,01-01-2021
232,1039,126104,Increment,01-01-2022
233,1039,117040,Increment,01-01-2023
234,1039,112738,Increment,01-01-2024
235,1040,65291,Promotion,01-01-2019
236,1040,56833,Increment,01-01-2020
237,1040,56897,Promotion,01-01-2021
238,1040,70977,Promotion,01-01-2022
239,1040,61237,Bonus,01-01-2023
240,1040,57893,Bonus,01-01-2024
241,1041,96775,Bonus,01-01-2019
242,1041,95101,Increment,01-01-2020
243,1041,106843,Promotion,01-01-2021
244,1041,92692,Increment,01-01-2022
245,1041,111495,Increment,01-01-2023
246,1041,98923,Promotion,01-01-2024
247,1042,98026,Increment,01-01-2019
248,1042,104683,Bonus,01-01-2020
249,1042,106259,Bonus,01-01-2021
250,1042,114696,Increment,01-01-2022
251,1042,110316,Bonus,01-01-2023
252,1042,100107,Bonus,01-01-2024
253,1043,133601,Promotion,01-01-2019
254,1043,120579,Increment,01-01-2020
255,1043,116963,Bonus,01-01-2021
256,1043,119567,Promotion,01-01-2022
257,1043,122136,Increment,01-01-2023
258,1043,116685,Bonus,01-01-2024
259,1044,36914,Increment,01-01-2019
260,1044,49387,Increment,01-01-2020
261,1044,38553,Promotion,01-01-2021
262,1044,39299,Bonus,01-01-2022
263,1044,47875,Increment,01-01-2023
264,1044,41089,Increment,01-01-2024
265,1045,42279,Increment,01-01-2019
266,1045,45154,Bonus,01-01-2020
267,1045,31827,Promotion,01-01-2021
268,1045,40115,Bonus,01-01-2022
269,1045,49838,Increment,01-01-2023
270,1045,43678,Increment,01-01-2024
271,1046,40570,Bonus,01-01-2019
272,1046,31800,Promotion,01-01-2020
273,1046,46481,Increment,01-01-2021
274,1046,30236,Increment,01-01-2022
275,1046,41695,Promotion,01-01-2023
276,1046,40976,Promotion,01-01-2024
277,1047,43978,Increment,01-01-2019
278,1047,67565,Increment,01-01-2020
279,1047,46441,Promotion,01-01-2021
280,1047,48049,Promotion,01-01-2022
281,1047,62265,Increment,01-01-2023
282,1047,45998,Increment,01-01-2024
283,1048,129918,Increment,01-01-2019
284,1048,118116,Bonus,01-01-2020
285,1048,115042,Promotion,01-01-2021
286,1048,131349,Increment,01-01-2022
287,1048,126799,Increment,01-01-2023
288,1048,126239,Promotion,01-01-2024
289,1049,62080,Promotion,01-01-2019
290,1049,54830,Bonus,01-01-2020
291,1049,63548,Increment,01-01-2021
292,1049,68624,Increment,01-01-2022
293,1049,62121,Bonus,01-01-2023
294,1049,68722,Promotion,01-01-2024
295,1050,53486,Promotion,01-01-2019
296,1050,44375,Promotion,01-01-2020
297,1050,66861,Bonus,01-01-2021
298,1050,54081,Promotion,01-01-2022
299,1050,60861,Bonus,01-01-2023
300,1050,60722,Bonus,01-01-2024
301,1051,117482,Increment,01-01-2019
302,1051,108207,Increment,01-01-2020
303,1051,104604,Promotion,01-01-2021
304,1051,107860,Promotion,01-01-2022
305,1051,97214,Bonus,01-01-2023
306,1051,99409,Bonus,01-01-2024
307,1052,68349,Bonus,01-01-2019
308,1052,44424,Bonus,01-01-2020
309,1052,44735,Increment,01-01-2021
310,1052,65193,Increment,01-01-2022
311,1052,49919,Promotion,01-01-2023
312,1052,49700,Promotion,01-01-2024
313,1053,85726,Increment,01-01-2019
314,1053,84885,Increment,01-01-2020
315,1053,92269,Increment,01-01-2021
316,1053,79666,Promotion,01-01-2022
317,1053,96494,Promotion,01-01-2023
318,1053,80451,Bonus,01-01-2024
319,1054,45747,Bonus,01-01-2019
320,1054,46136,Bonus,01-01-2020
321,1054,63488,Increment,01-01-2021
322,1054,51461,Bonus,01-01-2022
323,1054,59341,Promotion,01-01-2023
324,1054,48209,Promotion,01-01-2024
325,1055,28267,Bonus,01-01-2019
326,1055,26524,Increment,01-01-2020
327,1055,43137,Bonus,01-01-2021
328,1055,41883,Bonus,01-01-2022
329,1055,29126,Increment,01-01-2023
330,1055,32892,Bonus,01-01-2024
331,1056,87679,Increment,01-01-2019
332,1056,91470,Increment,01-01-2020
333,1056,89176,Bonus,01-01-2021
334,1056,84493,Increment,01-01-2022
335,1056,97077,Promotion,01-01-2023
336,1056,92998,Promotion,01-01-2024
337,1057,32190,Promotion,01-01-2019
338,1057,36997,Promotion,01-01-2020
339,1057,45396,Increment,01-01-2021
340,1057,53290,Bonus,01-01-2022
341,1057,41559,Increment,01-01-2023
342,1057,37366,Increment,01-01-2024
343,1058,55078,Promotion,01-01-2019
344,1058,56525,Bonus,01-01-2020
345,1058,49674,Increment,01-01-2021
346,1058,47370,Promotion,01-01-2022
347,1058,54694,Bonus,01-01-2023
348,1058,50670,Bonus,01-01-2024
349,1059,93494,Promotion,01-01-2019
350,1059,76636,Increment,01-01-2020
351,1059,84130,Promotion,01-01-2021
352,1059,77374,Increment,01-01-2022
353,1059,75085,Increment,01-01-2023
354,1059,86994,Bonus,01-01-2024
355,1060,108637,Increment,01-01-2019
356,1060,113424,Increment,01-01-2020
357,1060,105090,Increment,01-01-2021
358,1060,95079,Promotion,01-01-2022
359,1060,102245,Bonus,01-01-2023
360,1060,105692,Increment,01-01-2024
361,1061,49853,Promotion,01-01-2019
362,1061,37946,Bonus,01-01-2020
363,1061,36786,Bonus,01-01-2021
364,1061,54110,Promotion,01-01-2022
365,1061,35810,Bonus,01-01-2023
366,1061,30011,Promotion,01-01-2024
367,1062,107053,Promotion,01-01-2019
368,1062,112462,Increment,01-01-2020
369,1062,99890,Bonus,01-01-2021
370,1062,117544,Promotion,01-01-2022
371,1062,102797,Promotion,01-01-2023
372,1062,113484,Bonus,01-01-2024
373,1063,117724,Increment,01-01-2019
374,1063,119375,Bonus,01-01-2020
375,1063,122635,Promotion,01-01-2021
376,1063,115048,Bonus,01-01-2022
377,1063,113742,Increment,01-01-2023
378,1063,109270,Bonus,01-01-2024
379,1064,92695,Increment,01-01-2019
380,1064,89135,Bonus,01-01-2020
381,1064,79571,Increment,01-01-2021
382,1064,89577,Promotion,01-01-2022
383,1064,80537,Increment,01-01-2023
384,1064,84009,Promotion,01-01-2024
385,1065,49465,Promotion,01-01-2019
386,1065,54671,Increment,01-01-2020
387,1065,49789,Promotion,01-01-2021
388,1065,46076,Increment,01-01-2022
389,1065,42721,Increment,01-01-2023
390,1065,37341,Bonus,01-01-2024
391,1066,116440,Bonus,01-01-2019
392,1066,127036,Bonus,01-01-2020
393,1066,104631,Increment,01-01-2021
394,1066,117535,Increment,01-01-2022
395,1066,119303,Promotion,01-01-2023
396,1066,114484,Increment,01-01-2024
397,1067,112758,Bonus,01-01-2019
398,1067,111792,Increment,01-01-2020
399,1067,102514,Promotion,01-01-2021
400,1067,106903,Promotion,01-01-2022
401,1067,108424,Increment,01-01-2023
402,1067,115072,Promotion,01-01-2024
403,1068,34703,Promotion,01-01-2019
404,1068,31215,Bonus,01-01-2020
405,1068,25294,Increment,01-01-2021
406,1068,35682,Promotion,01-01-2022
407,1068,31480,Bonus,01-01-2023
408,1068,34619,Bonus,01-01-2024
409,1069,109979,Increment,01-01-2019
410,1069,112287,Promotion,01-01-2020
411,1069,113631,Increment,01-01-2021
412,1069,100367,Promotion,01-01-2022
413,1069,112509,Promotion,01-01-2023
414,1069,112758,Bonus,01-01-2024
415,1070,71374,Promotion,01-01-2019
416,1070,64816,Bonus,01-01-2020
417,1070,71051,Increment,01-01-2021
418,1070,67968,Bonus,01-01-2022
419,1070,84835,Increment,01-01-2023
420,1070,76396,Increment,01-01-2024
421,1071,96451,Increment,01-01-2019
422,1071,113745,Bonus,01-01-2020
423,1071,94241,Promotion,01-01-2021
424,1071,94034,Bonus,01-01-2022
425,1071,108096,Increment,01-01-2023
426,1071,95603,Promotion,01-01-2024
427,1072,99072,Increment,01-01-2019
428,1072,104949,Increment,01-01-2020
429,1072,82856,Promotion,01-01-2021
430,1072,104493,Bonus,01-01-2022
431,1072,97954,Bonus,01-01-2023
432,1072,89117,Bonus,01-01-2024
433,1073,65058,Promotion,01-01-2019
434,1073,54781,Promotion,01-01-2020
435,1073,51494,Bonus,01-01-2021
436,1073,69265,Bonus,01-01-2022
437,1073,54165,Increment,01-01-2023
438,1073,67738,Promotion,01-01-2024
439,1074,59599,Promotion,01-01-2019
440,1074,59019,Bonus,01-01-2020
441,1074,78776,Promotion,01-01-2021
442,1074,58812,Bonus,01-01-2022
443,1074,81786,Promotion,01-01-2023
444,1074,74386,Increment,01-01-2024
445,1075,106630,Increment,01-01-2019
446,1075,127306,Increment,01-01-2020
447,1075,114018,Promotion,01-01-2021
448,1075,116391,Bonus,01-01-2022
449,1075,109104,Increment,01-01-2023
450,1075,110134,Bonus,01-01-2024
451,1076,114820,Bonus,01-01-2019
452,1076,110003,Increment,01-01-2020
453,1076,96919,Promotion,01-01-2021
454,1076,100638,Increment,01-01-2022
455,1076,105843,Promotion,01-01-2023
456,1076,92451,Bonus,01-01-2024
457,1077,113985,Promotion,01-01-2019
458,1077,109963,Promotion,01-01-2020
459,1077,111092,Promotion,01-01-2021
460,1077,117679,Promotion,01-01-2022
461,1077,107601,Increment,01-01-2023
462,1077,105798,Increment,01-01-2024
463,1078,58479,Promotion,01-01-2019
464,1078,68701,Promotion,01-01-2020
465,1078,72018,Promotion,01-01-2021
466,1078,59866,Increment,01-01-2022
467,1078,76987,Promotion,01-01-2023
468,1078,67271,Increment,01-01-2024
469,1079,54796,Promotion,01-01-2019
470,1079,54515,Promotion,01-01-2020
471,1079,60913,Promotion,01-01-2021
472,1079,42516,Promotion,01-01-2022
473,1079,58690,Increment,01-01-2023
474,1079,38741,Bonus,01-01-2024
475,1080,53492,Bonus,01-01-2019
476,1080,32053,Bonus,01-01-2020
477,1080,36456,Bonus,01-01-2021
478,1080,51158,Increment,01-01-2022
479,1080,44156,Promotion,01-01-2023
480,1080,48936,Bonus,01-01-2024
481,1081,98026,Increment,01-01-2019
482,1081,106578,Increment,01-01-2020
483,1081,84458,Bonus,01-01-2021
484,1081,96748,Bonus,01-01-2022
485,1081,103029,Increment,01-01-2023
486,1081,106510,Promotion,01-01-2024
487,1082,89974,Increment,01-01-2019
488,1082,81306,Bonus,01-01-2020
489,1082,79852,Increment,01-01-2021
490,1082,83051,Bonus,01-01-2022
491,1082,77881,Bonus,01-01-2023
492,1082,87326,Bonus,01-01-2024
493,1083,60775,Increment,01-01-2019
494,1083,58556,Promotion,01-01-2020
495,1083,57860,Increment,01-01-2021
496,1083,47556,Bonus,01-01-2022
497,1083,52747,Bonus,01-01-2023
498,1083,49474,Promotion,01-01-2024
499,1084,79915,Bonus,01-01-2019
500,1084,67399,Bonus,01-01-2020
501,1084,62772,Promotion,01-01-2021
502,1084,76019,Bonus,01-01-2022
503,1084,64672,Bonus,01-01-2023
504,1084,74182,Increment,01-01-2024
505,1085,111724,Bonus,01-01-2019
506,1085,96584,Increment,01-01-2020
507,1085,119612,Increment,01-01-2021
508,1085,98135,Promotion,01-01-2022
509,1085,104857,Promotion,01-01-2023
510,1085,102868,Increment,01-01-2024
511,1086,75742,Increment,01-01-2019
512,1086,74348,Bonus,01-01-2020
513,1086,79279,Increment,01-01-2021
514,1086,77533,Increment,01-01-2022
515,1086,70416,Bonus,01-01-2023
516,1086,56973,Bonus,01-01-2024
517,1087,49390,Promotion,01-01-2019
518,1087,52710,Bonus,01-01-2020
519,1087,56745,Increment,01-01-2021
520,1087,61653,Bonus,01-01-2022
521,1087,67835,Bonus,01-01-2023
522,1087,57343,Promotion,01-01-2024
523,1088,51165,Bonus,01-01-2019
524,1088,35450,Bonus,01-01-2020
525,1088,54295,Increment,01-01-2021
526,1088,49278,Increment,01-01-2022
527,1088,51301,Bonus,01-01-2023
528,1088,53486,Bonus,01-01-2024
529,1089,33303,Promotion,01-01-2019
530,1089,38877,Increment,01-01-2020
531,1089,33932,Promotion,01-01-2021
532,1089,29982,Promotion,01-01-2022
533,1089,22466,Promotion,01-01-2023
534,1089,37605,Bonus,01-01-2024
535,1090,41364,Increment,01-01-2019
536,1090,33490,Bonus,01-01-2020
537,1090,36698,Bonus,01-01-2021
538,1090,48838,Promotion,01-01-2022
539,1090,44122,Bonus,01-01-2023
540,1090,35118,Promotion,01-01-2024
541,1091,101973,Bonus,01-01-2019
542,1091,94147,Promotion,01-01-2020
543,1091,85690,Increment,01-01-2021
544,1091,92502,Increment,01-01-2022
545,1091,101606,Promotion,01-01-2023
546,1091,93345,Promotion,01-01-2024
547,1092,122314,Increment,01-01-2019
548,1092,125732,Promotion,01-01-2020
549,1092,119026,Bonus,01-01-2021
550,1092,122985,Increment,01-01-2022
551,1092,118485,Promotion,01-01-2023
552,1092,114576,Increment,01-01-2024
553,1093,119287,Increment,01-01-2019
554,1093,119239,Promotion,01-01-2020
555,1093,111449,Increment,01-01-2021
556,1093,129796,Promotion,01-01-2022
557,1093,124603,Increment,01-01-2023
558,1093,118811,Increment,01-01-2024
559,1094,92974,Promotion,01-01-2019
560,1094,106288,Increment,01-01-2020
561,1094,110562,Promotion,01-01-2021
562,1094,92618,Promotion,01-01-2022
563,1094,112276,Promotion,01-01-2023
564,1094,96657,Promotion,01-01-2024
565,1095,118627,Bonus,01-01-2019
566,1095,105493,Promotion,01-01-2020
567,1095,101996,Bonus,01-01-2021
568,1095,117778,Bonus,01-01-2022
569,1095,104041,Increment,01-01-2023
570,1095,118709,Promotion,01-01-2024
571,1096,102211,Promotion,01-01-2019
572,1096,103766,Promotion,01-01-2020
573,1096,94870,Bonus,01-01-2021
574,1096,93203,Bonus,01-01-2022
575,1096,87882,Bonus,01-01-2023
576,1096,100251,Increment,01-01-2024
577,1097,35627,Bonus,01-01-2019
578,1097,48040,Increment,01-01-2020
579,1097,41636,Bonus,01-01-2021
580,1097,55148,Bonus,01-01-2022
581,1097,45915,Promotion,01-01-2023
582,1097,40664,Increment,01-01-2024
583,1098,45884,Promotion,01-01-2019
584,1098,37286,Promotion,01-01-2020
585,1098,41602,Increment,01-01-2021
586,1098,47992,Bonus,01-01-2022
587,1098,47038,Promotion,01-01-2023
588,1098,41691,Increment,01-01-2024
589,1099,54937,Promotion,01-01-2019
590,1099,37595,Increment,01-01-2020
591,1099,58274,Bonus,01-01-2021
592,1099,43333,Increment,01-01-2022
593,1099,34102,Increment,01-01-2023
594,1099,57777,Promotion,01-01-2024
595,1100,66817,Promotion,01-01-2019
596,1100,64873,Increment,01-01-2020
597,1100,67095,Increment,01-01-2021
598,1100,77309,Bonus,01-01-2022
599,1100,75361,Promotion,01-01-2023
600,1100,65106,Bonus,01-01-2024
601,1101,24100,Promotion,01-01-2019
602,1101,39154,Increment,01-01-2020
603,1101,34343,Increment,01-01-2021
604,1101,27056,Promotion,01-01-2022
605,1101,27041,Bonus,01-01-2023
606,1101,34912,Bonus,01-01-2024
607,1102,36834,Increment,01-01-2019
608,1102,55404,Increment,01-01-2020
609,1102,45618,Bonus,01-01-2021
610,1102,55603,Promotion,01-01-2022
611,1102,51241,Increment,01-01-2023
612,1102,50001,Promotion,01-01-2024
613,1103,46419,Increment,01-01-2019
614,1103,45346,Bonus,01-01-2020
615,1103,35292,Bonus,01-01-2021
616,1103,41246,Promotion,01-01-2022
617,1103,41902,Increment,01-01-2023
618,1103,38484,Increment,01-01-2024
619,1104,86719,Bonus,01-01-2019
620,1104,101347,Bonus,01-01-2020
621,1104,78672,Increment,01-01-2021
622,1104,88399,Bonus,01-01-2022
623,1104,89873,Increment,01-01-2023
624,1104,88995,Promotion,01-01-2024
625,1105,79216,Promotion,01-01-2019
626,1105,92796,Bonus,01-01-2020
627,1105,91778,Bonus,01-01-2021
628,1105,77965,Bonus,01-01-2022
629,1105,82646,Bonus,01-01-2023
630,1105,77989,Increment,01-01-2024
631,1106,59431,Bonus,01-01-2019
632,1106,67701,Promotion,01-01-2020
633,1106,69586,Promotion,01-01-2021
634,1106,58881,Promotion,01-01-2022
635,1106,67797,Increment,01-01-2023
636,1106,69401,Bonus,01-01-2024
637,1107,70417,Promotion,01-01-2019
638,1107,67743,Bonus,01-01-2020
639,1107,67224,Bonus,01-01-2021
640,1107,78780,Increment,01-01-2022
641,1107,75928,Increment,01-01-2023
642,1107,68970,Increment,01-01-2024
643,1108,57767,Bonus,01-01-2019
644,1108,64746,Promotion,01-01-2020
645,1108,68481,Increment,01-01-2021
646,1108,50772,Bonus,01-01-2022
647,1108,53431,Bonus,01-01-2023
648,1108,57356,Promotion,01-01-2024
649,1109,96148,Bonus,01-01-2019
650,1109,85993,Bonus,01-01-2020
651,1109,98782,Promotion,01-01-2021
652,1109,96982,Promotion,01-01-2022
653,1109,102438,Increment,01-01-2023
654,1109,92136,Promotion,01-01-2024
655,1110,102050,Promotion,01-01-2019
656,1110,89411,Promotion,01-01-2020
657,1110,110393,Increment,01-01-2021
658,1110,109139,Increment,01-01-2022
659,1110,109012,Bonus,01-01-2023
660,1110,108021,Bonus,01-01-2024
661,1111,56378,Bonus,01-01-2019
662,1111,61006,Bonus,01-01-2020
663,1111,52080,Bonus,01-01-2021
664,1111,60321,Promotion,01-01-2022
665,1111,45896,Bonus,01-01-2023
666,1111,48615,Increment,01-01-2024
667,1112,107260,Increment,01-01-2019
668,1112,98079,Bonus,01-01-2020
669,1112,107564,Bonus,01-01-2021
670,1112,103454,Increment,01-01-2022
671,1112,97835,Promotion,01-01-2023
672,1112,91325,Increment,01-01-2024
673,1113,111072,Promotion,01-01-2019
674,1113,120969,Increment,01-01-2020
675,1113,113687,Bonus,01-01-2021
676,1113,130768,Promotion,01-01-2022
677,1113,111488,Promotion,01-01-2023
678,1113,133180,Increment,01-01-2024
679,1114,128799,Promotion,01-01-2019
680,1114,122949,Promotion,01-01-2020
681,1114,112555,Bonus,01-01-2021
682,1114,126615,Bonus,01-01-2022
683,1114,117161,Bonus,01-01-2023
684,1114,114493,Promotion,01-01-2024
685,1115,89961,Bonus,01-01-2019
686,1115,86465,Bonus,01-01-2020
687,1115,99556,Increment,01-01-2021
688,1115,77457,Bonus,01-01-2022
689,1115,76179,Bonus,01-01-2023
690,1115,84430,Bonus,01-01-2024
691,1116,94492,Bonus,01-01-2019
692,1116,88466,Increment,01-01-2020
693,1116,102613,Increment,01-01-2021
694,1116,108703,Promotion,01-01-2022
695,1116,97590,Promotion,01-01-2023
696,1116,112355,Bonus,01-01-2024
697,1117,109596,Bonus,01-01-2019
698,1117,110388,Promotion,01-01-2020
699,1117,116592,Promotion,01-01-2021
700,1117,124425,Increment,01-01-2022
701,1117,112345,Increment,01-01-2023
702,1117,115024,Bonus,01-01-2024
703,1118,22205,Promotion,01-01-2019
704,1118,20140,Bonus,01-01-2020
705,1118,44882,Increment,01-01-2021
706,1118,37975,Bonus,01-01-2022
707,1118,35152,Increment,01-01-2023
708,1118,34391,Promotion,01-01-2024
709,1119,120247,Bonus,01-01-2019
